basisOfRecord,class,date_end,date_start,date_year,decimalLatitude,decimalLongitude,depth,eventDate,family,genus,kingdom,locality,marine,maximumDepthInMeters,minimumDepthInMeters,modified,occurrenceStatus,order,phylum,scientificName,species,flags,bathymetry,shoredistance,sst,sss,brackish,subphylum
Occurrence,Globothalamea,905558400000.0,905558400000.0,1998.0,-41.786,-171.499,30.0,1998-09-12,Globigerinidae,Globigerinella,Chromista,,True,,30.0,2008-10-16 00:00:00,present,Rotaliida,Foraminifera,Globigerinella siphonifera,Globigerinella siphonifera,[],3289.0,427937,14.69,35.09,False,
MachineObservation,Octocorallia,1561766400000.0,1561766400000.0,2019.0,6.15646,-162.76456,1729.0,2019-06-29,Chrysogorgiidae,Chrysogorgia,Animalia,"Kingman Reef and Palmyra Atoll Unit of the Pacific Remote Islands Marine National Monument, Southwest of Kingman Reef, Kingman Ridges, Southern Ridge",True,1729.0,1729.0,,Present,Scleralcyonacea,Cnidaria,Chrysogorgia,,[],2297.0,49159,28.08,34.67,,Anthozoa
MaterialSample,Alphaproteobacteria,1493078400000.0,1493078400000.0,2017.0,-19.30847,147.61842,20.0,2017-04-25T14:20:00Z,,,Bacteria,Yongala,True,20.0,20.0,2022-08-01T04:58:23Z,present,,Proteobacteria,Alphaproteobacteria,,[],28.42,18574,25.57,35.25,True,
HumanObservation,Mammalia,1154131200000.0,1154131200000.0,2006.0,54.870875,-3.399768,0.0,2006-07-29T14:20:00,Phocoenidae,Phocoena,Animalia,,True,0.0,0.0,2025-05-13 16:20:21,present,Cetartiodactyla,Chordata,Phocoena phocoena,Phocoena phocoena,[],5.0,221,10.88,33.34,True,Vertebrata
PreservedSpecimen,Malacostraca,-149126400000.0,-149126400000.0,1965.0,60.645,-30.7367,7.5,1965-04-11 04:56:00+01,,,Animalia,,True,10.0,5.0,,present,Euphausiacea,Arthropoda,Euphausiacea,,[],1791.0,529711,8.45,34.99,,Crustacea
HumanObservation,Holocephali,1500940800000.0,1500940800000.0,2017.0,50.894233,-128.872716,82.05000000000001,2017-07-25T11:10:45,Chimaeridae,Hydrolagus,Animalia,,True,84.2,79.9,,present,Chimaeriformes,Chordata,Hydrolagus colliei,Hydrolagus colliei,[],80.0,8148,10.24,31.32,False,Vertebrata
MachineObservation,Elasmobranchii,1262217600000.0,1262217600000.0,2009.0,-23.13,113.77,2.0,2009-12-31,Dasyatidae,Pateobatis,Animalia,Skully Beach mid 1,True,2.0,2.0,2022-01-17,present,Myliobatiformes,Chordata,Pateobatis fai,Pateobatis fai,[],-7.0,111,24.83,34.89,False,Vertebrata
HumanObservation,Teleostei,998524800000.0,998524800000.0,2001.0,25.1174,-80.2973166,10.1,2001-08-23,Labridae,Thalassoma,Animalia,,True,10.1,10.1,2017-01-15,present,Eupercaria incertae sedis,Chordata,Thalassoma bifasciatum,Thalassoma bifasciatum,[],8.0,7308,27.08,36.05,False,Vertebrata
MATERIAL_SAMPLE,Picomonadea,1466121600000.0,1466121600000.0,2016.0,-11.9947,-170.0024,90.0,2016-06-17,Picomonadidae,,Plantae,,True,90.0,90.0,,,Picomonadida,Picozoa,Picomonadidae,,[],5094.0,155982,29.04,35.04,,
HumanObservation,Polychaeta,-1140220800000.0,-1140220800000.0,1933.0,31.142015,29.825911,7.0,1933-11-14,Opheliidae,Polyophthalmus,Animalia,close to El Dukhaylah Beach,True,7.0,7.0,,present,,Annelida,Polyophthalmus pictus,Polyophthalmus pictus,[],3.4,199,22.55,38.51,False,
HumanObservation,Thecostraca,210470400000.0,210470400000.0,1976.0,71.3833,-154.35,5.0,1976-09-02T14:34:48Z,Balanidae,Balanus,Animalia,,True,10.0,0.0,,present,Balanomorpha,Arthropoda,Balanus,,[],33.0,35911,-0.33,31.27,,Crustacea
HumanObservation,Copepoda,,,,47.181,-51.779,7.5,2022-03-28 22:02:40.0,Calanidae,Calanus,Animalia,,True,10.0,5.0,2024-03-15 12:58:30.45,,Calanoida,Arthropoda,Calanus glacialis,Calanus glacialis,[],163.0,72099,5.85,31.95,False,Crustacea
MaterialSample,Thermoplasmata,1363651200000.0,1363651200000.0,2013.0,-34.11923,151.22667,0.0,2013-03-19T12:27:00Z,,,Archaea,Port Hacking,True,0.0,0.0,2022-07-30T16:36:56Z,present,,Euryarchaeota,Thermoplasmata,,[],110.0,6160,20.37,35.54,,
HumanObservation,Teleostei,1334534400000.0,1334534400000.0,2012.0,-24.68,-124.8,9.0,2012-04-16,Holocentridae,Myripristis,Animalia,Dulcie SW,True,9.0,9.0,2017-05-24,present,Holocentriformes,Chordata,Myripristis randalli,Myripristis randalli,[],-1.0,387,24.24,36.09,False,Vertebrata
MachineObservation,Cyanophyceae,1721347200000.0,1721347200000.0,2024.0,55.48146893,12.71959793,4.0,2024-07-19T06:43:00+02:00,Aphanizomenonaceae,Aphanizomenon,Bacteria,RV_FB_D20240719T064352,,4.0,4.0,2025-05-13 16:20:21,present,Nostocales,Cyanobacteria,Aphanizomenon,,['MARINE_UNSURE'],11.8,8826,9.9,7.57,,
HumanObservation,Teleostei,850262400000.0,850262400000.0,1996.0,-38.10916,149.30084,150.0,1996-12-11T19:38:00Z,Cyttidae,Cyttus,Animalia,Aimed,True,154.0,146.0,2022-08-24T03:27:09,present,Zeiformes,Chordata,Cyttus novaezealandiae,Cyttus novaezealandiae,[],154.0,33358,17.1,35.58,False,Vertebrata
HumanObservation,Copepoda,-135561600000.0,-135561600000.0,1965.0,11.7833,44.8333,50.0,1965-09-15T19:00:00Z,Paracalanidae,Paracalanus,Animalia,,True,100.0,0.0,,present,Calanoida,Arthropoda,Paracalanus parvus,Paracalanus parvus,['NO_ACCEPTED_NAME'],1068.0,104494,28.56,36.37,True,Crustacea
HumanObservation,Aves,1218672000000.0,1218672000000.0,2008.0,39.24249,-74.21717,-1.0,2008-08-14 10:50:30,Hydrobatidae,Oceanites,Animalia,,True,-1.0,-1.0,2014-01-31 15:16:31,P,Procellariiformes,Chordata,Oceanites oceanicus,Oceanites oceanicus,[],21.0,21196,14.65,32.58,,Vertebrata
Occurrence,Teleostei,1000512000000.0,1000512000000.0,2001.0,58.1333,3.6667,96.0,2001-09-15T06:38:00+00:00,Gadidae,Melanogrammus,Animalia,,True,96.0,,2011-01-01 00:00:00,present,Gadiformes,Chordata,Melanogrammus aeglefinus,Melanogrammus aeglefinus,[],90.6,124300,10.33,34.57,False,Vertebrata
PreservedSpecimen,Bacillariophyceae,623548800000.0,623548800000.0,1989.0,33.85,141.166667,0.0,1989-10-05T05:34:48Z,Chaetocerotaceae,Bacteriastrum,Chromista,,True,0.0,0.0,2018-12-26T15:00:07+09:00,present,Chaetocerotanae incertae sedis,Heterokontophyta,Bacteriastrum,,[],4257.0,141716,22.77,34.49,,Bacillariophytina
Occurrence,Teleostei,1119916800000.0,1119916800000.0,2005.0,44.3368,-61.4075,33.5,2005-06-28T05:53:00,Merlucciidae,Merluccius,Animalia,,True,67.0,0.0,2023-11-24 15:33:32,present,Gadiformes,Chordata,Merluccius bilinearis,Merluccius bilinearis,[],108.0,80494,9.4,30.41,False,Vertebrata
HumanObservation,Elasmobranchii,705715200000.0,705715200000.0,1992.0,-42.89,147.61,14.0,1992-05-13,Squalidae,Squalus,Animalia,Frederick Henry Bay,True,14.0,14.0,2017-07-26T15:20:16,present,Squaliformes,Chordata,Squalus acanthias,Squalus acanthias,[],4.0,2269,13.79,35.25,True,Vertebrata
MachineObservation,Mammalia,1545350400000.0,1545350400000.0,2018.0,51.58,2.99549,12.351699,2018-12-21T20:00:00+00:00/2018-12-21T21:00:00+00:00,Phocoenidae,Phocoena,Animalia,Reefballs-cpower,True,24.703398,0.0,2024-05-23 10:35:05,present,Cetartiodactyla,Chordata,Phocoena phocoena,Phocoena phocoena,[],22.6,27547,12.39,32.45,True,Vertebrata
MaterialSample,Flavobacteria,1466640000000.0,1466640000000.0,2016.0,-1.50055,-168.74968,2061.1,2016-06-23T02:28:01Z,Flavobacteriaceae,Maribacter,Bacteria,13713,True,2061.1,2061.1,2022-08-03T21:36:00Z,present,Flavobacteriales,Bacteroidetes,Maribacter,,[],5962.0,314618,27.83,35.38,,
MaterialSample,Alphaproteobacteria,1474156800000.0,1474156800000.0,2016.0,-29.16262,154.47655,250.0,2016-09-18T20:40:59Z,,,Bacteria,Process Stn - EAC,True,250.0,250.0,2022-06-28T01:36:19Z,present,,Proteobacteria,Alphaproteobacteria,,[],4478.0,91499,23.61,35.49,True,
MaterialSample,Flavobacteria,1458518400000.0,1458518400000.0,2016.0,-42.59667,148.23333,0.0,2016-03-21T23:11:00Z,Flavobacteriaceae,,Bacteria,Maria Island,True,0.0,0.0,2022-06-24T00:19:26Z,present,Flavobacteriales,Bacteroidetes,Flavobacteriaceae,,[],85.0,7753,14.65,35.3,,
Occurrence,Polychaeta,1619913600000.0,1619913600000.0,2021.0,57.226283,11.400067,0.075,2021-05-02T00:01:00,Spionidae,Polydora,Animalia,,True,0.15,0.0,2025-05-13 16:20:21,present,Spionida,Annelida,Polydora cornuta,Polydora cornuta,[],34.8,13965,10.37,24.6,False,
HumanObservation,Malacostraca,1167264000000.0,1167264000000.0,2006.0,43.49,-66.59,93.27,2006-12-28,Nephropidae,Homarus,Animalia,Scotian Shelf and Bay of Fundy,True,93.27,93.27,2014-02-21T18:00:000Z,,Decapoda,Arthropoda,Homarus americanus,Homarus americanus,[],94.0,39166,9.05,31.37,False,Crustacea
Occurrence,Ascidiacea,1213488000000.0,1213488000000.0,2008.0,39.84,4.09,64.8,2008-06-15,Ascidiidae,Ascidia,Animalia,,True,64.8,64.8,2020-08-28 10:11:30,present,Phlebobranchia,Chordata,Ascidia virginea,Ascidia virginea,[],74.0,4101,19.62,37.29,,Tunicata
HumanObservation,Magnoliopsida,851990400000.0,820454400000.0,1996.0,-11.3140532104497,131.372614211404,0.0,1996,Acanthaceae,Avicennia,Plantae,,True,0.0,0.0,2020-11-02T15:58:57,present,Lamiales,Tracheophyta,Avicennia,,['ON_LAND'],-5.0,-1976,28.39,34.2,True,Spermatophytina
Human observation,Teleostei,940032000000.0,940032000000.0,1999.0,44.55,-52.9,96.5,1999-10-16,Stichaeidae,Lumpenus,Animalia,NAFO area 3O,True,97.0,96.0,2013-03-23T18:00:000Z,,Perciformes,Chordata,Lumpenus lampretaeformis,Lumpenus lampretaeformis,[],91.0,231592,9.56,32.3,False,Vertebrata
Occurrence,Florideophyceae,835142400000.0,835142400000.0,1996.0,52.56045,-9.66682,6.80000019,1996-06-19T11:34:17,Bonnemaisoniaceae,Bonnemaisonia,Plantae,,True,8.30000019,5.30000019,2022-01-18 09:29:51,present,Bonnemaisoniales,Rhodophyta,Bonnemaisonia asparagoides,Bonnemaisonia asparagoides,[],9.2,193,12.07,34.52,,Eurhodophytina
HumanObservation,Florideophyceae,1477872000000.0,1475280000000.0,2016.0,18.34403,-64.98435,6.0,2016-10,Rhodomelaceae,Laurencia,Plantae,Brewers Bay,True,6.0,6.0,2021-10-20,present,Ceramiales,Rhodophyta,Laurencia,,[],-9.0,160,27.71,34.89,,Eurhodophytina
HumanObservation,Aves,603504000000.0,603504000000.0,1989.0,-33.3342,151.439,0.0,1989-02-15,Scolopacidae,Tringa,Animalia,"Berkeley Creek, Berkeley Vale",True,0.0,0.0,2021-02-12T04:01:07,present,Charadriiformes,Chordata,Tringa nebularia,Tringa nebularia,['ON_LAND'],-4.0,-6014,20.38,35.52,,Vertebrata
Occurrence,Teleostei,540000000000.0,540000000000.0,1987.0,57.8333,10.55,101.0,1987-02-11T07:25:00+00:00,Pleuronectidae,Hippoglossoides,Animalia,,True,101.0,,2011-01-01 00:00:00,present,Pleuronectiformes,Chordata,Hippoglossoides platessoides,Hippoglossoides platessoides,[],98.0,9513,10.45,30.95,False,Vertebrata
HumanObservation,Teleostei,1274054400000.0,1274054400000.0,2010.0,24.5681,-82.9729833,23.5,2010-05-17,Acanthuridae,Acanthurus,Animalia,,True,23.5,23.5,2017-01-15,present,Acanthuriformes,Chordata,Acanthurus bahianus,Acanthurus bahianus,[],20.0,8124,26.67,36.06,False,Vertebrata
MATERIAL_SAMPLE,Bacteroidia,1374796800000.0,1374796800000.0,2013.0,-34.1192,151.2267,100.0,2013-07-26,Porphyromonadaceae,,Bacteria,Port Hacking NRS,,100.0,100.0,,,Bacteroidales,Bacteroidetes,Porphyromonadaceae,,['MARINE_UNSURE'],110.0,6161,20.37,35.54,,
MaterialSample,Flavobacteria,1337817600000.0,1337817600000.0,2012.0,-42.59667,148.23333,50.0,2012-05-24T01:30:00Z,Flavobacteriaceae,,Bacteria,Maria Island,True,50.0,50.0,2022-06-24T02:49:04Z,present,Flavobacteriales,Bacteroidetes,Flavobacteriaceae,,[],85.0,7753,14.65,35.3,,
Occurrence,Teleostei,710640000000.0,710640000000.0,1992.0,43.7753,-59.14,31.5,1992-07-09T18:03:00,Gadidae,Melanogrammus,Animalia,,True,63.0,0.0,2023-11-24 15:33:32,present,Gadiformes,Chordata,Melanogrammus aeglefinus,Melanogrammus aeglefinus,[],142.0,50354,9.64,31.6,False,Vertebrata
Occurrence,Bivalvia,867628800000.0,865123200000.0,1997.0,60.0,2.8333,109.0,1997-06,Thyasiridae,Axinulus,Animalia,o4171,True,,109.0,2008-10-30 00:00:00,present,Lucinida,Mollusca,Axinulus croulinensis,Axinulus croulinensis,[],111.0,118864,10.26,34.94,,
Occurrence,Teleostei,1225324800000.0,1225324800000.0,2008.0,54.3797,11.7205,12.0,2008-10-30T08:47:00,Pleuronectidae,Limanda,Animalia,,True,24.0,0.0,2023-04-05 17:28:04,present,Pleuronectiformes,Chordata,Limanda limanda,Limanda limanda,[],24.4,22416,10.48,9.03,False,Vertebrata
HumanObservation,Teleostei,559958400000.0,559958400000.0,1987.0,-20.2225,116.23583,46.5,1987-09-30T03:58:00Z,Haemulidae,Diagramma,Animalia,Survey Location,True,47.0,46.0,2022-08-26T00:18:43,present,Eupercaria incertae sedis,Chordata,Diagramma pictum,Diagramma pictum,[],47.0,42296,26.54,34.68,False,Vertebrata
Occurrence,Teleostei,779414400000.0,779414400000.0,1994.0,53.7867,-4.1383,49.0,1994-09-13T07:23:00+00:00,Triglidae,Chelidonichthys,Animalia,,True,49.0,,2011-01-01 00:00:00,present,Perciformes,Chordata,Chelidonichthys cuculus,Chelidonichthys cuculus,[],45.4,42256,11.33,33.7,False,Vertebrata
HumanObservation,Ophiuroidea,1336262400000.0,1336262400000.0,2012.0,56.51514,2.0927477184,80.0,2012-05-06,,,Animalia,,True,,80.0,,present,,Echinodermata,Ophiuroidea,,[],83.2,249103,10.62,35.01,,Asterozoa
